node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
1,2,0.125802,0.470100,61.882535,18.273779,0.065653
1,3,0.139620,0.784019,96.337052,97.631332,0.350765
1,4,0.130544,0.596225,65.610029,20.492442,0.073624
1,5,0.109956,0.481271,36.938615,16.443479,0.059077
1,6,0.105957,0.522676,35.095434,21.326930,0.076622
1,7,0.092990,0.425892,17.002604,13.910252,0.049976
1,8,0.105227,0.284412,15.734635,11.881057,0.042686
1,9,0.055938,0.091568,6.354131,4.848293,0.017419
1,10,0.291769,0.473702,30.640935,26.356090,0.094691
1,11,0.168848,0.710958,55.325882,29.751904,0.106891
1,12,0.166538,0.706074,56.908038,33.905486,0.121814
1,13,0.162490,0.550682,36.680524,15.966533,0.057364
1,14,0.161182,0.612113,48.539402,37.481032,0.134660
1,15,0.169968,0.671331,42.040810,16.124961,0.057933
1,16,0.172887,0.692704,45.350296,19.188924,0.068941
1,17,0.177254,0.688128,43.714442,19.349703,0.069519
1,18,0.159232,0.690167,56.689137,20.000475,0.071857
1,19,0.189044,0.726423,51.198424,42.773463,0.153674
1,20,0.221497,0.735189,49.982303,40.266790,0.144668
1,21,0.160777,0.704973,60.774227,26.948565,0.096819
1,22,0.228452,0.773636,60.807874,52.064326,0.187054
1,23,0.280841,0.687560,41.524629,35.037460,0.125881
1,24,0.465005,0.727199,54.169272,62.232632,0.223586
1,25,0.451522,0.661902,28.283410,16.700927,0.060002
1,26,0.183052,0.683775,53.045920,60.642412,0.217873
1,27,0.145697,0.754815,169.298576,23.838151,0.085644
1,28,0.736015,0.745814,83.719916,60.127667,0.216024
1,29,1.097860,0.703269,67.686046,46.669550,0.167672
1,30,1.055359,0.787337,105.646752,78.990399,0.283793
1,31,0.178906,0.705359,44.692423,17.964627,0.064542
1,32,0.173127,0.699774,47.905732,19.813226,0.071184
1,33,0.199920,0.736782,50.073257,27.938567,0.100376
1,34,0.181994,0.715528,48.274561,23.451496,0.084255
1,35,0.195470,0.701877,37.797548,21.469555,0.077135
1,36,0.176666,0.706239,47.846416,28.124343,0.101044
1,37,0.175631,0.746699,57.845640,39.359372,0.141408
1,38,0.205674,0.766851,58.057516,47.482009,0.170591
1,39,0.162655,0.913696,54.231835,28.654885,0.102950
1,40,0.209272,0.705822,39.098428,18.578575,0.066748
1,41,0.205528,0.751069,36.259768,22.058823,0.079252
1,42,0.236791,0.760398,54.157280,40.017856,0.143774
1,43,0.390171,0.833074,104.284719,96.017520,0.344967
1,44,0.147442,0.688290,165.268084,23.013311,0.082681
1,45,0.147895,0.734289,115.918132,51.990882,0.186790
1,46,0.164414,0.871938,130.295191,99.831320,0.358669
1,47,0.432998,0.861494,119.781244,125.807009,0.451993
1,48,0.152288,0.865438,77.826355,27.367750,0.098325
2,3,0.227947,0.601785,90.354885,89.907291,0.323014
2,4,0.031155,0.276993,21.096071,16.868382,0.060604
2,5,0.185507,0.363170,53.408257,14.665816,0.052691
2,6,0.250177,0.375717,56.434224,16.390945,0.058889
2,7,0.448304,0.548040,61.825020,25.363878,0.091126
2,8,0.537296,0.426077,63.062057,15.113650,0.054300
2,9,0.565474,0.508341,65.428983,21.366969,0.076766
2,10,0.791259,0.611824,77.063760,27.397809,0.098433
2,11,0.334933,0.699013,88.475632,32.070720,0.115222
2,12,0.322531,0.697316,89.521149,33.691084,0.121044
2,13,0.375450,0.670398,78.014951,21.301314,0.076530
2,14,0.326989,0.659310,85.139808,34.314919,0.123285
2,15,0.356578,0.719359,80.488579,24.071870,0.086484
