node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
1,2,0.107153,0.767797,100.519693,85.629129,0.037478
1,3,0.126518,0.732454,125.341170,29.275514,0.012813
1,4,0.119699,0.848248,678.629546,143.162610,0.062659
1,5,0.117941,0.825081,250.839961,83.145071,0.036391
1,6,0.124620,0.908934,202.748363,130.421762,0.057083
1,7,0.120344,0.962808,791.341679,736.047183,0.322151
1,8,0.126762,0.733799,158.847343,11.997211,0.005251
1,9,0.119012,0.975266,920.930401,1141.134730,0.499448
1,10,0.119707,0.944000,355.008874,387.200200,0.169469
1,11,0.138558,0.900124,138.441218,116.672385,0.051065
1,12,0.122622,0.972563,543.535849,479.579211,0.209901
1,13,0.122030,0.896913,474.576227,113.404915,0.049635
1,14,0.123167,0.955765,354.356133,322.567463,0.141180
1,15,0.122336,0.896590,308.119569,151.651577,0.066374
1,16,0.155126,0.972814,480.204896,601.125364,0.263099
1,17,0.122162,0.856196,328.196888,84.742223,0.037090
1,18,0.120712,0.926182,270.945236,252.193949,0.110379
1,19,0.122117,0.942219,360.792779,232.914525,0.101941
1,20,0.124655,0.899099,170.316609,122.979132,0.053825
1,21,0.123071,0.928540,240.771160,219.285418,0.095976
1,22,0.120539,0.805763,460.192809,70.024311,0.030648
1,23,0.123111,0.916236,281.446152,188.853388,0.082657
1,24,0.123275,0.969003,460.667950,554.988532,0.242906
1,25,0.122034,0.921445,381.008494,171.842571,0.075212
1,26,0.128227,0.779883,117.404229,51.388333,0.022491
1,27,0.125430,0.781803,132.442393,48.168936,0.021082
1,28,0.121370,0.923381,1307.557034,154.814603,0.067759
1,29,0.149621,0.896142,124.312363,98.683084,0.043191
1,30,0.124142,0.989845,1321.537296,1304.109254,0.570779
1,31,0.123862,0.896475,207.178888,186.740381,0.081732
1,32,0.124928,0.944853,269.531846,311.862272,0.136495
1,33,0.123680,0.915352,232.169737,190.607688,0.083425
1,34,0.124369,0.933622,244.224890,292.023295,0.127812
1,35,0.131569,0.913058,161.405998,184.020661,0.080542
1,36,0.121988,0.973610,617.624226,534.977983,0.234148
1,37,0.122013,0.925735,392.391603,164.962212,0.072200
1,38,0.125254,0.964298,385.235769,337.366840,0.147658
1,39,0.121741,0.963797,589.531700,364.776849,0.159654
1,40,0.124074,0.923891,232.027348,233.051108,0.102001
1,41,0.157397,0.942609,221.404212,318.546838,0.139421
1,42,0.122546,0.826103,246.197039,94.707838,0.041451
1,43,0.125435,0.934882,232.805891,313.309580,0.137128
1,44,0.125841,0.862476,153.118823,76.727817,0.033582
1,45,0.122629,0.951802,362.801174,277.928167,0.121643
1,46,0.124739,0.892924,185.291873,161.128834,0.070522
1,47,0.122646,0.934869,317.021166,176.434597,0.077221
1,48,0.125893,0.861286,151.835440,93.599773,0.040966
1,49,0.125464,0.955869,317.709430,345.318581,0.151138
1,50,0.123359,0.947668,310.543696,395.893929,0.173274
1,51,0.123443,0.958621,363.257081,306.981561,0.134359
1,52,0.313996,0.921763,156.354992,199.583984,0.087353
1,53,0.124453,0.870934,180.102201,105.529233,0.046188
1,54,0.164171,0.760944,60.433847,28.714811,0.012568
1,55,0.121937,0.953043,465.631848,359.639122,0.157406
1,56,0.126076,0.843225,144.309202,78.725059,0.034456
1,57,0.145034,0.924936,170.992942,182.233866,0.079760
1,58,0.134341,0.727904,83.683674,22.736910,0.009951
1,59,0.122685,0.943493,330.167059,228.018094,0.099798
1,60,0.125894,0.838952,145.593180,72.726440,0.031831
1,61,0.122155,0.860697,331.632365,75.153902,0.032893
1,62,0.123696,0.915980,231.493822,208.492033,0.091252
1,63,0.122918,0.913184,264.341152,157.204585,0.068805
1,64,0.123887,0.961375,373.986710,345.242167,0.151105
1,65,0.122421,0.937291,339.628347,227.281308,0.099476
1,66,0.122537,0.936636,326.158998,192.610336,0.084301
1,67,0.167581,0.962609,344.528903,609.479617,0.266755
1,68,0.144437,0.930791,185.517849,223.362917,0.097761
1,69,0.123529,0.937967,275.094906,285.180904,0.124817
2,3,0.136550,0.828799,166.232462,88.402226,0.038692
2,4,0.112825,0.480724,639.318126,98.439558,0.043085
2,5,0.101246,0.566264,228.205288,73.342081,0.032100
2,6,0.126425,0.663458,218.253284,109.941615,0.048119
2,7,0.113448,0.755680,731.943250,651.126482,0.284983
2,8,0.129414,0.923286,188.847752,104.079738,0.045553
2,9,0.109417,0.825685,853.328472,1045.288684,0.457499
2,10,0.104353,0.724978,335.718884,325.179503,0.142324
2,11,0.154620,0.698796,172.353431,104.650311,0.045803
2,12,0.124609,0.843003,553.692116,435.515580,0.190615
2,13,0.122340,0.702381,484.558380,103.695804,0.045385
2,14,0.125983,0.781268,368.649712,277.761292,0.121570
2,15,0.124356,0.707031,326.828345,119.136456,0.052143
2,16,0.209893,0.845099,492.472976,546.826591,0.239333
2,17,0.123851,0.716078,345.924266,86.914805,0.038041
2,18,0.107758,0.692656,264.784622,199.908864,0.087496
2,19,0.123218,0.748131,374.067571,196.451797,0.085982
2,20,0.126324,0.695773,195.244141,108.192317,0.047353
2,21,0.119093,0.713792,252.353881,175.973470,0.077020
2,22,0.115945,0.704052,451.761485,77.535370,0.033935
2,23,0.124960,0.714682,300.121562,149.403090,0.065390
2,24,0.125819,0.828000,470.341196,499.370252,0.218563
2,25,0.123471,0.721757,396.367101,141.844537,0.062082
2,26,0.129567,0.766853,152.756400,80.239135,0.035119
2,27,0.126956,0.760330,164.754957,82.216857,0.035984
2,28,0.121541,0.723818,1312.131289,135.244379,0.059193
2,29,0.194879,0.703913,164.401001,105.088611,0.045995
2,30,0.129709,0.932108,1326.061246,1255.874607,0.549667
2,31,0.128815,0.706877,234.005149,142.435412,0.062341
2,32,0.131695,0.757215,290.609843,261.313130,0.114371
2,33,0.128162,0.715913,256.449302,150.619809,0.065923
2,34,0.130365,0.737011,267.593513,239.390455,0.104776
2,35,0.150760,0.714777,195.020918,145.256449,0.063575
2,36,0.123209,0.848350,627.051355,486.917135,0.213112
2,37,0.123406,0.726400,407.354261,141.508272,0.061935
2,38,0.132957,0.812132,400.489585,302.514214,0.132404
2,39,0.122590,0.810304,599.548624,323.198032,0.141456
2,40,0.129441,0.724148,256.478230,186.056342,0.081433
2,41,0.215100,0.752965,246.955532,266.181264,0.116501
2,42,0.124096,0.728766,266.768684,81.131061,0.035509
2,43,0.133483,0.739071,257.248462,258.750181,0.113249
2,44,0.134650,0.713347,188.229016,90.597316,0.039652
2,45,0.125225,0.774172,378.938862,238.833276,0.104532
2,46,0.131450,0.707163,215.190287,123.770678,0.054172
2,47,0.125100,0.739011,335.220877,155.790676,0.068186
2,48,0.134708,0.713210,187.025037,88.267145,0.038633
2,49,0.133510,0.785020,335.866129,297.665561,0.130281
2,50,0.127392,0.764009,329.256631,338.650329,0.148219
2,51,0.127646,0.793464,379.387609,269.637593,0.118014
2,52,0.514042,0.722070,190.859121,159.718287,0.069905
2,53,0.130618,0.710077,210.765720,92.637124,0.040545
2,54,0.229962,0.797252,124.986157,93.390558,0.040875
2,55,0.123181,0.777447,478.309701,308.121466,0.134858
2,56,0.135340,0.723970,181.140919,84.007082,0.036768
2,57,0.185663,0.725539,203.040337,150.072449,0.065683
2,58,0.158243,0.837404,137.806388,93.483493,0.040916
2,59,0.125404,0.754879,347.845379,194.291454,0.085037
2,60,0.134812,0.726826,182.165243,84.020101,0.036774
2,61,0.123834,0.714157,349.237784,90.353631,0.039546
2,62,0.128391,0.716955,256.073339,164.064960,0.071807
2,63,0.126096,0.714912,286.116797,129.179118,0.056539
2,64,0.128960,0.802221,389.684005,303.724257,0.132933
2,65,0.124612,0.743108,356.826450,188.423018,0.082468
2,66,0.124967,0.742003,344.045274,165.659371,0.072505
2,67,0.238309,0.806307,361.498785,547.804350,0.239761
2,68,0.184152,0.732928,215.404135,181.515739,0.079445
2,69,0.127872,0.744207,296.043439,235.070341,0.102885
3,4,0.123555,0.833318,698.439410,127.786827,0.055929
3,5,0.135925,0.808133,284.878668,72.289710,0.031640
3,6,0.156778,0.860130,233.177745,117.108240,0.051256
3,7,0.124034,0.955928,806.604508,720.925200,0.315532
3,8,0.156336,0.783554,193.834281,31.327110,0.013711
3,9,0.131972,0.973720,938.161928,1127.495548,0.493479
3,10,0.135746,0.919496,378.278183,367.834925,0.160993
3,11,0.239041,0.841530,178.585046,102.359471,0.044800
3,12,0.133927,0.953009,555.343921,464.209766,0.203174
3,13,0.126060,0.839084,487.252163,99.363890,0.043489
3,14,0.141751,0.926277,372.541936,306.078845,0.133964
3,15,0.078346,0.661839,202.903664,118.136780,0.051706
3,16,0.305851,0.914755,470.010065,535.053833,0.234181
3,17,0.084292,0.606823,226.647060,61.541923,0.026935
3,18,0.141848,0.890721,297.109444,234.270275,0.102535
3,19,0.105197,0.858334,321.543709,210.616164,0.092182
3,20,0.163482,0.828316,197.247674,107.433103,0.047021
3,21,0.152127,0.888092,267.641268,202.176212,0.088488
3,22,0.115362,0.657782,437.958491,51.776839,0.022662
3,23,0.136668,0.866347,303.315804,171.090926,0.074883
3,24,0.122612,0.925523,450.669638,512.707679,0.224400
3,25,0.099505,0.836219,318.542009,154.197847,0.067489
3,26,0.186401,0.724308,163.816491,37.885401,0.016582
3,27,0.171764,0.726637,175.638109,36.341783,0.015906
3,28,0.121519,0.837557,1305.831654,137.274321,0.060082
3,29,0.336941,0.834831,167.921349,87.739393,0.038402
3,30,0.144222,0.980282,1322.394613,1286.506386,0.563074
3,31,0.107183,0.716922,177.744516,158.865442,0.069532
3,32,0.159132,0.908899,292.928118,293.496226,0.128457
3,33,0.146510,0.865394,258.939472,172.712783,0.075592
3,34,0.144711,0.843429,254.394022,269.235158,0.117838
3,35,0.206920,0.801807,186.443661,162.022053,0.070913
3,36,0.128272,0.954826,628.142306,518.660466,0.227006
3,37,0.128861,0.880376,408.843325,150.518701,0.065879
3,38,0.162654,0.939600,401.983445,323.575771,0.141622
3,39,0.125854,0.938779,600.590359,349.354058,0.152904
3,40,0.150752,0.877649,258.860990,214.440749,0.093856
3,41,0.376579,0.905458,249.393789,299.747369,0.131193
3,42,0.135374,0.746350,268.564582,76.305627,0.033397
3,43,0.155037,0.852568,246.244825,290.498332,0.127144
3,44,0.168278,0.797875,191.387308,64.784695,0.028355
3,45,0.135592,0.919666,380.520646,262.219837,0.114768
3,46,0.151627,0.792305,208.999435,140.655646,0.061562
3,47,0.135285,0.893798,337.069923,163.318181,0.071481
3,48,0.168812,0.795613,190.207963,77.940713,0.034113
3,49,0.164242,0.924786,337.144041,327.885839,0.143508
3,50,0.143098,0.911833,330.448318,376.284176,0.164691
3,51,0.144332,0.930392,380.946876,292.140094,0.127863
3,52,0.825083,0.874361,193.942227,181.983194,0.079650
3,53,0.153966,0.803559,212.530515,89.110083,0.039001
3,54,0.408715,0.713153,129.650850,28.555130,0.012498
3,55,0.128010,0.921537,479.511144,341.437488,0.149439
3,56,0.169574,0.772860,183.404729,63.621321,0.027846
3,57,0.303242,0.875012,203.969146,165.785108,0.072560
3,58,0.238316,0.706844,142.056094,24.605907,0.010769
3,59,0.136216,0.906631,349.531689,212.831524,0.093151
3,60,0.168752,0.771709,185.362648,58.568706,0.025634
3,61,0.129965,0.793693,349.718536,63.324556,0.027716
3,62,0.146884,0.865960,258.261510,189.969676,0.083145
3,63,0.138511,0.861811,287.786906,141.064344,0.061741
3,64,0.148905,0.933985,390.907073,329.518604,0.144223
3,65,0.133259,0.897216,358.372031,210.704931,0.092221
3,66,0.134600,0.896018,345.709150,178.277854,0.078028
3,67,0.424698,0.936288,362.835982,589.529445,0.258023
3,68,0.304754,0.887003,218.001022,205.837478,0.090090
3,69,0.144898,0.897777,297.686954,266.593246,0.116682
4,5,0.252039,0.570924,515.067504,91.722752,0.040145
4,6,0.526502,0.512606,690.032553,92.000463,0.040266
4,7,0.057380,0.715704,538.946355,635.784963,0.278268
4,8,0.527578,0.914248,693.168934,147.866298,0.064718
4,9,0.233888,0.802347,965.034572,1105.033941,0.483648
4,10,0.241022,0.714121,552.395505,274.708445,0.120234
4,11,0.838045,0.637477,691.413353,104.734181,0.045840
4,12,0.333868,0.833309,872.603855,404.498248,0.177040
4,13,0.217204,0.672493,819.245756,109.589220,0.047965
4,14,0.415101,0.763107,764.510865,245.720997,0.107546
4,15,0.318138,0.704201,752.810432,106.934138,0.046803
4,16,0.973610,0.838846,838.602135,508.026693,0.222352
4,17,0.291599,0.718655,761.690514,106.688015,0.046695
4,18,0.341869,0.669342,601.749944,162.174521,0.070980
4,19,0.312613,0.725248,761.122418,173.084367,0.075755
4,20,0.614970,0.664434,683.211455,109.981588,0.048136
4,21,0.471006,0.674197,674.470264,144.702082,0.063333
4,22,0.167028,0.659555,630.110275,97.570038,0.042704
4,23,0.363059,0.699757,734.343863,126.257119,0.055260
4,24,0.469272,0.811101,811.726665,456.933802,0.199989
4,25,0.271560,0.718065,785.774266,130.293529,0.057026
4,26,0.671847,0.749641,672.185887,110.998981,0.048582
4,27,0.607015,0.745031,674.618623,114.611376,0.050163
4,28,0.138428,0.720119,1477.364437,133.477841,0.058420
4,29,0.957315,0.693139,696.079270,123.722123,0.054150
4,30,0.502652,0.928794,1489.746185,1221.789051,0.534749
4,31,0.484253,0.703592,717.011570,115.742381,0.050658
4,32,0.554781,0.748625,737.330376,225.834382,0.098843
4,33,0.461605,0.710204,724.894910,128.159194,0.056092
4,34,0.519811,0.731641,729.635653,202.266323,0.088527
4,35,0.797838,0.712099,706.370475,124.772996,0.054610
4,36,0.257461,0.841646,922.905313,453.268786,0.198385
4,37,0.266842,0.722071,791.625854,135.850128,0.059458
4,38,0.577586,0.805738,788.255886,281.402149,0.123163
4,39,0.217356,0.803489,905.371973,295.932474,0.129523
4,40,0.496073,0.719199,725.507049,155.235628,0.067943
4,41,0.978682,0.746812,722.369824,229.258327,0.100341
4,42,0.364278,0.720632,716.249390,90.764037,0.039725
4,43,0.588255,0.733990,726.006216,219.696183,0.096156
4,44,0.610129,0.715949,704.535264,115.900679,0.050727
4,45,0.354836,0.767898,777.411025,214.945828,0.094077
4,46,0.545414,0.706318,712.153796,106.251610,0.046504
4,47,0.351088,0.733743,756.358688,151.433331,0.066279
4,48,0.613428,0.713502,703.746529,103.063160,0.045108
4,49,0.590205,0.776880,756.931943,264.849816,0.115919
4,50,0.434777,0.757837,754.496641,297.094657,0.130032
4,51,0.442931,0.787014,777.708997,246.816220,0.108026
4,52,1.020496,0.718201,705.238147,137.322208,0.060103
4,53,0.525533,0.711936,710.894961,101.642720,0.044487
4,54,0.990192,0.803151,690.215829,133.852960,0.058584
4,55,0.253992,0.771136,830.381586,271.993832,0.119045
4,56,0.622250,0.727976,702.692167,106.027013,0.046406
4,57,0.937552,0.721664,708.655465,135.923215,0.059490
4,58,0.845085,0.843397,692.793934,134.804185,0.059001
4,59,0.361889,0.749242,762.860615,176.544531,0.077269
4,60,0.612962,0.731089,702.956939,109.055165,0.047731
4,61,0.289653,0.716964,763.499471,116.315428,0.050909
4,62,0.465736,0.714035,725.612123,136.708784,0.059834
4,63,0.389117,0.712378,736.765911,120.575288,0.052773
4,64,0.482069,0.795834,782.832731,276.795956,0.121147
4,65,0.327675,0.737943,766.937055,166.005582,0.072657
4,66,0.343379,0.736969,761.142957,155.348331,0.067992
4,67,0.995209,0.799829,769.168385,502.765299,0.220049
4,68,0.934370,0.728276,712.277221,156.315335,0.068416
4,69,0.450225,0.738665,740.554283,200.562597,0.087782
5,6,0.193967,0.321571,243.348708,55.564081,0.024319
5,7,0.098585,0.832680,703.847856,634.740112,0.277811
5,8,0.232263,0.910015,293.910136,87.089129,0.038117
5,9,0.100884,0.882967,887.062567,1022.606064,0.447571
5,10,0.102630,0.770978,334.576798,334.242972,0.146290
5,11,0.431209,0.702836,285.886137,99.834955,0.043695
5,12,0.160737,0.847294,584.765371,436.521831,0.191056
5,13,0.136552,0.697032,527.306766,97.262752,0.042570
5,14,0.181011,0.714218,398.882189,263.430308,0.115297
5,15,0.162966,0.712551,400.354987,119.767039,0.052419
5,16,0.665099,0.863822,544.312575,555.406768,0.243089
5,17,0.156005,0.708872,416.281116,78.169099,0.034213
5,18,0.134816,0.708192,288.888840,204.456463,0.089486
5,19,0.158636,0.767815,433.046955,199.674498,0.087393
5,20,0.260964,0.702913,287.599875,104.359057,0.045676
5,21,0.197459,0.728719,318.660741,179.541202,0.078581
5,22,0.107275,0.691438,412.503096,67.183552,0.029405
5,23,0.175121,0.726545,376.379962,152.465177,0.066731
5,24,0.205577,0.847788,518.740572,507.817512,0.222260
5,25,0.150950,0.735632,458.992578,142.750368,0.062479
5,26,0.296067,0.744124,263.949489,66.151743,0.028953
5,27,0.261279,0.737796,270.472470,67.736125,0.029647
5,28,0.124100,0.738288,1332.457279,133.789794,0.058557
5,29,0.621273,0.709490,282.785779,97.123330,0.042509
5,30,0.223862,0.941987,1346.178970,1263.850911,0.553158
5,31,0.216371,0.712352,328.709826,146.432374,0.064090
5,32,0.245049,0.776841,371.366921,268.198183,0.117384
5,33,0.208316,0.727698,345.393380,153.866594,0.067344
5,34,0.230642,0.754379,354.032102,246.561842,0.107914
5,35,0.391238,0.725913,302.976846,148.124215,0.064831
5,36,0.147536,0.866827,668.253626,494.206792,0.216303
5,37,0.149856,0.741550,468.679294,141.048890,0.061734
5,38,0.255404,0.832546,462.774749,306.617582,0.134199
5,39,0.138614,0.830770,642.726350,328.709906,0.143869
5,40,0.221280,0.738725,345.668993,191.470600,0.083802
5,41,0.681840,0.772281,338.741500,273.490265,0.119700
5,42,0.173315,0.714025,345.950603,74.875980,0.032771
5,43,0.260295,0.756753,346.320241,266.461025,0.116624
5,44,0.270726,0.707848,298.653196,80.157591,0.035083
5,45,0.173518,0.794727,444.205371,243.260570,0.106470
5,46,0.241255,0.711359,316.317410,125.663213,0.055000
5,47,0.172352,0.756669,407.306354,155.190414,0.067923
5,48,0.272177,0.707307,297.636800,81.110999,0.035500
5,49,0.261102,0.805783,408.006843,304.211854,0.133147
5,50,0.199014,0.784136,402.694589,347.301144,0.152006
5,51,0.201837,0.814250,444.626195,273.990304,0.119919
5,52,1.010728,0.736028,300.330500,163.162169,0.071412
5,53,0.232998,0.707085,313.351231,87.448477,0.038274
5,54,0.726165,0.776585,263.358288,77.260278,0.033815
5,55,0.146791,0.798097,531.514394,315.504868,0.138089
5,56,0.276739,0.713517,294.248558,74.356806,0.032544
5,57,0.573212,0.740480,308.215820,151.664032,0.066380
5,58,0.436999,0.817163,269.746839,77.008076,0.033705
5,59,0.175636,0.774372,418.051785,197.098731,0.086266
5,60,0.272123,0.715410,294.881826,73.298804,0.032081
5,61,0.155562,0.708172,419.210385,79.671061,0.034870
5,62,0.209966,0.729056,345.457068,168.574921,0.073781
5,63,0.183997,0.726083,368.283186,129.246180,0.056568
5,64,0.216003,0.822899,453.461101,309.121950,0.135296
5,65,0.165741,0.761352,425.533193,192.182650,0.084114
5,66,0.170201,0.760096,414.897470,166.564851,0.072902
5,67,0.748010,0.826895,429.481150,557.786126,0.244130
5,68,0.566743,0.749548,316.497043,185.785244,0.081314
5,69,0.204393,0.762605,376.014447,241.688314,0.105781
6,7,0.123157,0.776005,790.248481,653.370237,0.285965
6,8,0.172105,0.940455,248.560570,132.897425,0.058166
6,9,0.133908,0.855171,924.639502,1059.873146,0.463882
6,10,0.135422,0.721398,392.448983,318.844040,0.139551
6,11,0.285634,0.703070,237.110906,120.494334,0.052738
6,12,0.082682,0.777714,502.129359,408.588106,0.178830
6,13,0.113704,0.658688,455.502178,111.897153,0.048975
6,14,0.116079,0.669432,340.182102,221.709450,0.097037
6,15,0.138841,0.709847,365.498139,127.054445,0.055609
6,16,0.449298,0.813126,518.909520,536.190934,0.234678
6,17,0.135751,0.736930,382.598793,108.594380,0.047529
6,18,0.132838,0.681905,305.535736,194.766882,0.085245
6,19,0.138486,0.726711,410.287251,198.116528,0.086711
6,20,0.194410,0.701976,256.824877,123.546800,0.054074
6,21,0.149848,0.682434,287.601485,172.694204,0.075584
6,22,0.126475,0.757129,496.314773,104.425835,0.045705
6,23,0.144432,0.704558,341.177284,151.889913,0.066479
6,24,0.162214,0.798211,500.236534,489.481792,0.214235
6,25,0.133581,0.708755,428.754801,147.971675,0.064764
6,26,0.201095,0.797131,216.709501,106.746252,0.046720
