node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
1,2,0.344065,0.554820,2103.036274,1343.147745,0.087302
1,3,0.763119,0.509092,2008.884577,469.751114,0.030533
1,4,1.005853,0.625852,2199.756088,535.155216,0.034784
1,5,1.012943,0.811313,3782.101325,2602.766685,0.169176
1,6,0.129038,0.823926,3427.513635,524.731225,0.034107
1,7,1.012042,0.586119,2202.703486,490.428193,0.031877
1,8,0.262542,0.699063,2563.282459,713.707915,0.046390
1,9,1.011399,0.699122,2221.462618,528.492924,0.034351
1,10,0.200960,0.698088,2801.489968,684.464510,0.044489
1,11,1.019169,0.761826,2686.761280,1363.218878,0.088607
1,12,1.014690,0.714383,2218.912736,498.642287,0.032411
1,13,0.283642,0.820288,2392.128209,513.347734,0.033367
1,14,0.867790,0.762883,2204.941554,518.903010,0.033728
1,15,1.010034,0.718541,2396.661480,945.729199,0.061471
1,16,0.242720,0.771025,2543.010164,506.223509,0.032904
1,17,1.007265,0.742183,2479.454679,925.523871,0.060158
1,18,0.359514,0.810819,2331.235691,540.311184,0.035119
1,19,1.013499,0.715501,2347.613309,797.334348,0.051825
1,20,1.016252,0.735189,2214.862913,508.437590,0.033048
1,21,0.973351,0.707047,2297.894006,638.451105,0.041498
1,22,0.274786,0.759495,2803.706092,1133.399981,0.073669
1,23,0.220535,0.729312,2824.773773,855.631180,0.055615
1,24,0.794513,0.766239,2221.279891,540.715635,0.035146
1,25,0.327862,0.760768,2375.695114,493.673032,0.032088
1,26,0.955601,0.720450,2368.232560,787.958745,0.051216
1,27,1.022165,0.707504,2260.920702,573.003808,0.037244
1,28,0.505265,0.720738,2288.229816,541.947224,0.035226
1,29,0.248466,0.710456,2570.998336,549.151314,0.035694
1,30,1.021049,0.729800,2220.150523,526.073036,0.034194
1,31,0.827405,0.721558,2380.795260,789.851867,0.051339
1,32,0.511226,0.709452,2357.878725,694.744033,0.045157
1,33,0.177066,0.749804,3083.877075,482.976729,0.031393
1,34,0.796232,0.826104,3263.222742,2666.642591,0.173327
1,35,0.288776,0.776074,2432.771196,519.718531,0.033781
1,36,0.652468,0.883835,2224.806780,570.370170,0.037073
1,37,0.619458,0.707109,2308.176318,599.173747,0.038945
1,38,0.416434,0.729933,2316.621781,507.804350,0.033006
1,39,0.989753,0.723960,2227.955640,513.901406,0.033403
1,40,0.723047,0.791028,2223.493176,472.664435,0.030722
1,41,0.658967,0.808375,2228.942467,494.189254,0.032121
1,42,1.022840,0.743284,2213.156678,477.740209,0.031052
