beta1	beta2	beta3	lmax
1.709431e+01	1.493346e+01	2.403992e+01	-9.410357
1.709437e+01	1.493345e+01	2.403985e+01	-9.410355
1.709443e+01	1.493343e+01	2.403980e+01	-9.410355
1.709448e+01	1.493341e+01	2.403976e+01	-9.410355
1.709454e+01	1.493340e+01	2.403969e+01	-9.410354
1.709460e+01	1.493339e+01	2.403965e+01	-9.410352
1.709465e+01	1.493337e+01	2.403961e+01	-9.410353
1.709471e+01	1.493336e+01	2.403954e+01	-9.410357
1.709477e+01	1.493336e+01	2.403949e+01	-9.410355
1.709483e+01	1.493336e+01	2.403943e+01	-9.410355
1.709488e+01	1.493333e+01	2.403937e+01	-9.410355
1.709494e+01	1.493332e+01	2.403931e+01	-9.410356
1.709500e+01	1.493331e+01	2.403926e+01	-9.410355
1.709505e+01	1.493330e+01	2.403920e+01	-9.410355
1.709511e+01	1.493327e+01	2.403915e+01	-9.410357
1.709517e+01	1.493327e+01	2.403911e+01	-9.410357
1.709522e+01	1.493326e+01	2.403904e+01	-9.410353
1.709528e+01	1.493323e+01	2.403900e+01	-9.410355
1.709534e+01	1.493322e+01	2.403893e+01	-9.410354
1.709540e+01	1.493323e+01	2.403890e+01	-9.410360
1.709545e+01	1.493321e+01	2.403883e+01	-9.410353
1.709551e+01	1.493320e+01	2.403876e+01	-9.410354
1.709557e+01	1.493318e+01	2.403871e+01	-9.410355
1.709562e+01	1.493317e+01	2.403867e+01	-9.410357
1.709568e+01	1.493316e+01	2.403860e+01	-9.410356
1.709574e+01	1.493315e+01	2.403855e+01	-9.410355
1.709580e+01	1.493315e+01	2.403849e+01	-9.410353
1.709585e+01	1.493311e+01	2.403844e+01	-9.410355
1.709591e+01	1.493311e+01	2.403839e+01	-9.410356
1.709597e+01	1.493311e+01	2.403832e+01	-9.410352
1.709602e+01	1.493309e+01	2.403828e+01	-9.410354
1.709608e+01	1.493307e+01	2.403823e+01	-9.410356
1.709614e+01	1.493305e+01	2.403819e+01	-9.410355
1.709619e+01	1.493305e+01	2.403812e+01	-9.410354
1.709625e+01	1.493303e+01	2.403805e+01	-9.410354
1.709631e+01	1.493303e+01	2.403800e+01	-9.410355
1.709637e+01	1.493301e+01	2.403796e+01	-9.410354
1.709642e+01	1.493299e+01	2.403790e+01	-9.410353
1.709648e+01	1.493298e+01	2.403786e+01	-9.410355
1.709654e+01	1.493298e+01	2.403780e+01	-9.410357
1.709659e+01	1.493297e+01	2.403774e+01	-9.410356
1.709665e+01	1.493296e+01	2.403769e+01	-9.410356
1.709671e+01	1.493292e+01	2.403762e+01	-9.410353
1.709677e+01	1.493292e+01	2.403757e+01	-9.410354
1.709682e+01	1.493291e+01	2.403751e+01	-9.410356
1.709688e+01	1.493290e+01	2.403746e+01	-9.410355
1.709694e+01	1.493288e+01	2.403740e+01	-9.410353
1.709699e+01	1.493288e+01	2.403736e+01	-9.410356
1.709705e+01	1.493287e+01	2.403730e+01	-9.410357
1.709711e+01	1.493286e+01	2.403726e+01	-9.410355
1.709716e+01	1.493284e+01	2.403719e+01	-9.410356
1.709722e+01	1.493282e+01	2.403713e+01	-9.410355
1.709728e+01	1.493282e+01	2.403709e+01	-9.410353
1.709734e+01	1.493280e+01	2.403703e+01	-9.410353
1.709739e+01	1.493278e+01	2.403698e+01	-9.410353
1.709745e+01	1.493278e+01	2.403693e+01	-9.410357
1.709751e+01	1.493277e+01	2.403688e+01	-9.410357
1.709756e+01	1.493276e+01	2.403681e+01	-9.410356
1.709762e+01	1.493274e+01	2.403676e+01	-9.410358
1.709768e+01	1.493272e+01	2.403671e+01	-9.410353
1.709774e+01	1.493272e+01	2.403664e+01	-9.410354
1.709779e+01	1.493271e+01	2.403660e+01	-9.410357
1.709785e+01	1.493269e+01	2.403652e+01	-9.410355
1.709791e+01	1.493268e+01	2.403649e+01	-9.410357
1.709796e+01	1.493266e+01	2.403643e+01	-9.410355
1.709802e+01	1.493266e+01	2.403638e+01	-9.410356
1.709808e+01	1.493264e+01	2.403633e+01	-9.410352
1.709813e+01	1.493264e+01	2.403627e+01	-9.410353
1.709819e+01	1.493262e+01	2.403621e+01	-9.410355
1.709825e+01	1.493260e+01	2.403614e+01	-9.410353
1.709831e+01	1.493260e+01	2.403612e+01	-9.410357
1.709836e+01	1.493258e+01	2.403604e+01	-9.410355
1.709842e+01	1.493257e+01	2.403599e+01	-9.410357
1.709848e+01	1.493254e+01	2.403595e+01	-9.410353
1.709853e+01	1.493255e+01	2.403588e+01	-9.410356
1.709859e+01	1.493253e+01	2.403584e+01	-9.410357
1.709865e+01	1.493252e+01	2.403577e+01	-9.410355
1.709871e+01	1.493251e+01	2.403572e+01	-9.410357
1.709876e+01	1.493249e+01	2.403568e+01	-9.410356
1.709882e+01	1.493249e+01	2.403561e+01	-9.410355
1.709888e+01	1.493247e+01	2.403557e+01	-9.410353
1.709893e+01	1.493246e+01	2.403551e+01	-9.410353
1.709899e+01	1.493244e+01	2.403547e+01	-9.410356
1.709905e+01	1.493243e+01	2.403540e+01	-9.410354
1.709910e+01	1.493242e+01	2.403534e+01	-9.410354
1.709916e+01	1.493240e+01	2.403529e+01	-9.410355
1.709922e+01	1.493241e+01	2.403524e+01	-9.410355
1.709928e+01	1.493239e+01	2.403517e+01	-9.410353
1.709933e+01	1.493237e+01	2.403513e+01	-9.410355
1.709939e+01	1.493237e+01	2.403507e+01	-9.410354
1.709945e+01	1.493235e+01	2.403502e+01	-9.410355
1.709950e+01	1.493235e+01	2.403499e+01	-9.410357
1.709956e+01	1.493233e+01	2.403490e+01	-9.410357
1.709962e+01	1.493231e+01	2.403485e+01	-9.410358
1.709968e+01	1.493230e+01	2.403479e+01	-9.410357
1.709973e+01	1.493228e+01	2.403475e+01	-9.410356
1.709979e+01	1.493227e+01	2.403471e+01	-9.410355
1.709985e+01	1.493227e+01	2.403464e+01	-9.410356
1.709990e+01	1.493227e+01	2.403459e+01	-9.410353
1.709996e+01	1.493224e+01	2.403452e+01	-9.410353
1.710002e+01	1.493223e+01	2.403448e+01	-9.410357
1.710007e+01	1.493222e+01	2.403441e+01	-9.410353
1.710013e+01	1.493221e+01	2.403437e+01	-9.410353
1.710019e+01	1.493220e+01	2.403432e+01	-9.410356
1.710025e+01	1.493218e+01	2.403426e+01	-9.410355
1.710030e+01	1.493216e+01	2.403420e+01	-9.410358
1.710036e+01	1.493215e+01	2.403415e+01	-9.410354
1.710042e+01	1.493215e+01	2.403409e+01	-9.410357
1.710047e+01	1.493212e+01	2.403404e+01	-9.410355
1.710053e+01	1.493212e+01	2.403397e+01	-9.410354
1.710059e+01	1.493211e+01	2.403393e+01	-9.410354
1.710065e+01	1.493209e+01	2.403388e+01	-9.410353
1.710070e+01	1.493209e+01	2.403382e+01	-9.410357
1.710076e+01	1.493205e+01	2.403376e+01	-9.410354
1.710082e+01	1.493205e+01	2.403370e+01	-9.410353
1.710087e+01	1.493203e+01	2.403366e+01	-9.410355
1.710093e+01	1.493202e+01	2.403359e+01	-9.410353
1.710099e+01	1.493202e+01	2.403356e+01	-9.410355
1.710104e+01	1.493200e+01	2.403349e+01	-9.410357
1.710110e+01	1.493201e+01	2.403344e+01	-9.410354
1.710116e+01	1.493197e+01	2.403338e+01	-9.410353
1.710122e+01	1.493197e+01	2.403334e+01	-9.410353
1.710127e+01	1.493195e+01	2.403327e+01	-9.410355
1.710133e+01	1.493194e+01	2.403322e+01	-9.410354
1.710139e+01	1.493193e+01	2.403316e+01	-9.410353
1.710144e+01	1.493193e+01	2.403312e+01	-9.410355
1.710150e+01	1.493191e+01	2.403306e+01	-9.410355
1.710156e+01	1.493190e+01	2.403300e+01	-9.410353
1.710162e+01	1.493188e+01	2.403295e+01	-9.410355
1.710167e+01	1.493187e+01	2.403290e+01	-9.410355
1.710173e+01	1.493185e+01	2.403283e+01	-9.410351
1.710179e+01	1.493184e+01	2.403278e+01	-9.410353
1.710184e+01	1.493183e+01	2.403273e+01	-9.410353
1.710190e+01	1.493181e+01	2.403268e+01	-9.410353
1.710196e+01	1.493180e+01	2.403261e+01	-9.410353
1.710201e+01	1.493179e+01	2.403258e+01	-9.410357
1.710207e+01	1.493179e+01	2.403250e+01	-9.410351
1.710213e+01	1.493177e+01	2.403247e+01	-9.410355
1.710219e+01	1.493176e+01	2.403240e+01	-9.410353
1.710224e+01	1.493175e+01	2.403236e+01	-9.410355
1.710230e+01	1.493175e+01	2.403231e+01	-9.410355
1.710236e+01	1.493172e+01	2.403224e+01	-9.410352
1.710241e+01	1.493172e+01	2.403218e+01	-9.410357
1.710247e+01	1.493169e+01	2.403213e+01	-9.410351
1.710253e+01	1.493168e+01	2.403208e+01	-9.410352
1.710259e+01	1.493168e+01	2.403203e+01	-9.410352
1.710264e+01	1.493167e+01	2.403197e+01	-9.410357
1.710270e+01	1.493165e+01	2.403192e+01	-9.410354
1.710276e+01	1.493163e+01	2.403187e+01	-9.410353
1.710281e+01	1.493160e+01	2.403180e+01	-9.410352
1.710287e+01	1.493160e+01	2.403176e+01	-9.410353
1.710293e+01	1.493160e+01	2.403169e+01	-9.410353
1.710298e+01	1.493157e+01	2.403165e+01	-9.410357
1.710304e+01	1.493156e+01	2.403157e+01	-9.410353
1.710310e+01	1.493155e+01	2.403153e+01	-9.410354
1.710316e+01	1.493154e+01	2.403148e+01	-9.410353
1.710321e+01	1.493155e+01	2.403143e+01	-9.410352
1.710327e+01	1.493153e+01	2.403138e+01	-9.410356
1.710333e+01	1.493151e+01	2.403131e+01	-9.410354
1.710338e+01	1.493150e+01	2.403125e+01	-9.410353
1.710344e+01	1.493149e+01	2.403120e+01	-9.410353
1.710350e+01	1.493147e+01	2.403115e+01	-9.410351
1.710356e+01	1.493147e+01	2.403109e+01	-9.410353
1.710361e+01	1.493145e+01	2.403104e+01	-9.410356
1.710367e+01	1.493144e+01	2.403100e+01	-9.410355
1.710373e+01	1.493142e+01	2.403093e+01	-9.410353
1.710378e+01	1.493143e+01	2.403089e+01	-9.410352
1.710384e+01	1.493141e+01	2.403082e+01	-9.410353
1.710390e+01	1.493139e+01	2.403077e+01	-9.410354
1.710395e+01	1.493139e+01	2.403073e+01	-9.410355
1.710401e+01	1.493137e+01	2.403066e+01	-9.410353
1.710407e+01	1.493134e+01	2.403062e+01	-9.410351
1.710413e+01	1.493133e+01	2.403057e+01	-9.410353
1.710418e+01	1.493132e+01	2.403050e+01	-9.410351
1.710424e+01	1.493133e+01	2.403044e+01	-9.410354
1.710430e+01	1.493130e+01	2.403040e+01	-9.410352
1.710435e+01	1.493130e+01	2.403033e+01	-9.410351
1.710441e+01	1.493127e+01	2.403029e+01	-9.410353
1.710447e+01	1.493126e+01	2.403023e+01	-9.410355
1.710453e+01	1.493126e+01	2.403019e+01	-9.410357
1.710458e+01	1.493123e+01	2.403012e+01	-9.410352
1.710464e+01	1.493121e+01	2.403007e+01	-9.410352
1.710470e+01	1.493121e+01	2.403002e+01	-9.410354
1.710475e+01	1.493120e+01	2.402995e+01	-9.410353
1.710481e+01	1.493119e+01	2.402990e+01	-9.410355
1.710487e+01	1.493117e+01	2.402984e+01	-9.410353
1.710492e+01	1.493116e+01	2.402979e+01	-9.410353
1.710498e+01	1.493117e+01	2.402972e+01	-9.410351
1.710504e+01	1.493114e+01	2.402970e+01	-9.410354
1.710510e+01	1.493114e+01	2.402963e+01	-9.410352
1.710515e+01	1.493111e+01	2.402957e+01	-9.410351
1.710521e+01	1.493111e+01	2.402951e+01	-9.410348
1.710527e+01	1.493108e+01	2.402947e+01	-9.410349
1.710532e+01	1.493109e+01	2.402940e+01	-9.410354
1.710538e+01	1.493108e+01	2.402935e+01	-9.410352
1.710544e+01	1.493105e+01	2.402930e+01	-9.410353
1.710550e+01	1.493103e+01	2.402925e+01	-9.410353
1.710555e+01	1.493103e+01	2.402920e+01	-9.410352
1.710561e+01	1.493103e+01	2.402916e+01	-9.410356
1.710567e+01	1.493100e+01	2.402908e+01	-9.410353
1.710572e+01	1.493099e+01	2.402904e+01	-9.410352
1.710578e+01	1.493099e+01	2.402899e+01	-9.410353
1.710584e+01	1.493098e+01	2.402892e+01	-9.410350
1.710589e+01	1.493095e+01	2.402887e+01	-9.410351
1.710595e+01	1.493095e+01	2.402883e+01	-9.410356
