beta1	beta2	beta3	dist	lmax
1.709419109727324e+01	1.493348362785090e+01	2.404003152708108e+01	7.101147331415068	-9.410351446236723
1.709194830061731e+01	1.493397285108084e+01	2.404218083684359e+01	7.103085301966730	-9.410352045742123
1.708966945886418e+01	1.493446207431079e+01	2.404435970912188e+01	7.105053337075430	-9.410350717814911
1.708740572076098e+01	1.493495129754074e+01	2.404653009387499e+01	7.107013676648805	-9.410349651313453
1.708514374456971e+01	1.493544052077068e+01	2.404869703626711e+01	7.108971590447674	-9.410347838972466
1.708287935476057e+01	1.493592974400063e+01	2.405087051146973e+01	7.110936608290563	-9.410345999522869
1.708061257134818e+01	1.493641896723057e+01	2.405304752030167e+01	7.112905917860035	-9.410343006371427
1.707834895990078e+01	1.493690819046052e+01	2.405522045854249e+01	7.114872150711640	-9.410340003274776
1.707610084595994e+01	1.493739741369047e+01	2.405738623851566e+01	7.116831879809938	-9.410337595677259
1.707383521249995e+01	1.493788663692041e+01	2.405957014050844e+01	7.118810229249823	-9.410333711945629
1.707157721482902e+01	1.493837586015036e+01	2.406174404293270e+01	7.120779739405052	-9.410330267483978
1.706932358419776e+01	1.493886508338031e+01	2.406391734207482e+01	7.122749361489920	-9.410325686822517
1.706705111854347e+01	1.493935430661025e+01	2.406610882726345e+01	7.124737742141381	-9.410320490089214
1.706481204166948e+01	1.493984352984020e+01	2.406827573545160e+01	7.126702458810517	-9.410316234705695
1.706254291405791e+01	1.494033275307015e+01	2.407046799091545e+01	7.128693156514148	-9.410310302917733
1.706028220023759e+01	1.494082197630009e+01	2.407265610995772e+01	7.130680468758801	-9.410304406459876
1.705803875569550e+01	1.494131119953004e+01	2.407483045782321e+01	7.132654943445362	-9.410298455588723
1.705577281821549e+01	1.494180042275999e+01	2.407702586435990e+01	7.134651062371113	-9.410291540591404
1.705350768482796e+01	1.494228964598993e+01	2.407922330239134e+01	7.136649921682705	-9.410283812249318
1.705126877574315e+01	1.494277886921988e+01	2.408140110955809e+01	7.138630014185692	-9.410277844259635
1.704900971361394e+01	1.494326809244983e+01	2.408359450964168e+01	7.140626529781142	-9.410269503365082
1.704676190053014e+01	1.494375731567977e+01	2.408578310005906e+01	7.142618868890652	-9.410261855898074
1.704450204309713e+01	1.494424653890972e+01	2.408798170046401e+01	7.144622027229677	-9.410252824951163
1.704225370287709e+01	1.494473576213966e+01	2.409017273699627e+01	7.146618402530924	-9.410243802447233
1.704000387795151e+01	1.494522498536961e+01	2.409236932109244e+01	7.148620912332901	-9.410235211131388
1.703775545022982e+01	1.494571420859956e+01	2.409456387562780e+01	7.150622304739974	-9.410225327812430
1.703550578365934e+01	1.494620343182950e+01	2.409676162427331e+01	7.152627609961080	-9.410215129769561
1.703325131364517e+01	1.494669265505945e+01	2.409896580572530e+01	7.154640043036100	-9.410204598100943
1.703099663010362e+01	1.494718187828940e+01	2.410117415412695e+01	7.156657256751468	-9.410193392786057
1.702875330434314e+01	1.494767110151934e+01	2.410337017187603e+01	7.158663188639473	-9.410182546129215
1.702651029310069e+01	1.494816032474929e+01	2.410556773805148e+01	7.160671407211872	-9.410170291436899
1.702426868609005e+01	1.494864954797924e+01	2.410776929310755e+01	7.162684150023010	-9.410158845957765
1.702201950113183e+01	1.494913877120918e+01	2.410997838596417e+01	7.164705197684699	-9.410146546769575
1.701976785614691e+01	1.494962799443913e+01	2.411219151391135e+01	7.166731009784122	-9.410133818230804
1.701751517133508e+01	1.495011721766908e+01	2.411440891698875e+01	7.168761742113883	-9.410120653326210
1.701526222970121e+01	1.495060644089902e+01	2.411662563762603e+01	7.170792697973148	-9.410106415556083
1.701301900378869e+01	1.495109566412897e+01	2.411883512023892e+01	7.172817207795426	-9.410092821899237
1.701078857769285e+01	1.495158488735892e+01	2.412103720536999e+01	7.174834952878451	-9.410078970302969
1.700853664156192e+01	1.495207411058886e+01	2.412326234207517e+01	7.176876305087537	-9.410063945642465
1.700629252372113e+01	1.495256333381881e+01	2.412547888261944e+01	7.178910022063056	-9.410048836507542
1.700406136022305e+01	1.495305255704876e+01	2.412768485965301e+01	7.180933977639413	-9.410033929701282
1.700181733162393e+01	1.495354178027870e+01	2.412990326965256e+01	7.182971127449298	-9.410017188342183
1.699958059026039e+01	1.495403100350865e+01	2.413212174106988e+01	7.185008791075716	-9.410001795009993
1.699733300882932e+01	1.495452022673859e+01	2.413434824694098e+01	7.187055418923370	-9.409984618919907
1.699510362380670e+01	1.495500944996854e+01	2.413656137524923e+01	7.189089342978793	-9.409967697396874
1.699284104763428e+01	1.495549867319849e+01	2.413880599448643e+01	7.191155481705323	-9.409949810126198
1.699060918394377e+01	1.495598789642843e+01	2.414102769058464e+01	7.193199264242286	-9.409932643339953
1.698836950060925e+01	1.495647711965838e+01	2.414325744551700e+01	7.195251878422035	-9.409914052085149
1.698612353373751e+01	1.495696634288833e+01	2.414549029833202e+01	7.197308583915063	-9.409894934140528
1.698387967808487e+01	1.495745556611827e+01	2.414772319563538e+01	7.199366054051744	-9.409875585512742
