Generator,Lat,Lon,beta,Pg
0,41.14987,-72.21072,4.659478,650
1,41.4678,-71.1025,4.559983,632
2,41.40886,-71.30124,4.588794,503
3,41.40886,-71.30124,4.954518,226.35
4,41.60926,-70.46667,3.669296,700
5,41.54443,-70.21943,5.438054,560
6,43.96032,-69.58359,4.455803,800
7,42.84217,-72.65104,17.21453,540
8,41.24833,-72.45371,4.48867,554
9,42.68407,-73.68155,6.092424,370
10,44.84721,-74.96637,10.12281,400
11,44.94083,-74.77657,9.026632,400
12,43.11746,-76.18384,5.128761,600
13,42.9663,-76.20267,5.389639,141
14,42.87719,-77.72816,4.377069,833
15,43.13549,-78.32064,4.329806,1115
16,43.13549,-78.32064,5.708433,557.5
17,43.00409,-78.54105,4.936146,1095
18,43.0561,-78.98,8.943263,410
19,42.91186,-79.06478,4.79583,298
20,42.44449,-79.26259,16.01221,410
21,42.32661,-79.1147,7.168248,194
22,42.61369,-76.93127,25.83447,91
23,42.09986,-76.69955,19.36365,66
24,42.11234,-75.87158,6.286981,134
25,42.6078,-76.08352,11.11653,150
26,40.68631,-73.3985,3.453096,95.372
27,40.72168,-73.19833,4.662743,1000
28,40.8451,-73.31042,12.33382,720
29,40.79691,-73.59301,10.43422,460
30,42.38139,-82.46003,4.43993,1650
31,43.64828,-79.61629,5.652725,930
32,46.67058,-81.02921,5.356654,450
33,46.35854,-81.3118,3.398153,600
34,44.94048,-75.13875,4.48081,585
35,42.93613,-79.79337,4.398834,1200
36,42.61369,-82.72512,5.116596,550
37,43.12786,-83.57288,10.35997,550
38,43.23188,-85.69041,2.004217,700
39,42.4359,-83.2748,4.607008,145
40,42.26427,-83.32472,4.942307,155
41,41.73692,-83.45142,3.701079,655
42,39.76031,-76.38634,10.64652,490
43,40.27483,-79.21219,2.323181,1700
44,40.49777,-79.19382,12.17746,880
45,40.66211,-79.52161,24.10689,2330
46,42.04897,-80.06041,11.10917,70
47,38.72017,-82.32108,3.342718,115
