Bus,Lat,Lon,Generators
0,41.24348,-72.04355,-
1,41.35789,-72.14054,-
2,41.43036,-71.98606,-
3,41.31525,-71.80801,-
4,41.63076,-72.14054,-
5,41.92962,-71.58011,-
6,42.16747,-71.38131,-
7,42.16643,-71.64178,-
8,42.03295,-71.99923,-
9,41.60926,-71.20849,-
10,41.54443,-71.40472,-
11,41.92962,-71.1025,-
12,41.78123,-70.43134,-
13,41.67167,-70.14877,-
14,42.09639,-71.12466,-
15,42.75272,-72.48011,-
16,42.82172,-71.42039,-
17,42.50933,-71.27914,-
18,43.13376,-70.57265,-
19,43.91664,-69.79556,-
20,41.14987,-72.21072,0
21,41.4678,-71.1025,1
22,41.40886,-71.30124,2;3
23,41.60926,-70.46667,4
24,41.54443,-70.21943,5
25,43.96032,-69.58359,6
26,42.84217,-72.65104,7
27,42.51591,-72.21964,-
28,42.57382,-72.38306,-
29,42.15707,-72.55076,-
30,41.67167,-72.55076,-
31,41.4997,-72.69202,-
32,41.39707,-72.48011,-
33,41.35789,-72.90398,-
34,41.52258,-73.04527,-
35,41.24833,-72.45371,8
36,42.47951,-73.87276,-
37,42.44449,-74.42333,-
38,42.08773,-73.82285,-
39,42.64281,-74.03902,-
40,42.79225,-73.89349,-
41,42.68407,-73.68155,9
42,42.90874,-75.20939,-
43,43.03252,-75.10342,-
44,43.15144,-75.20939,-
45,44.52963,-74.91785,-
46,44.84721,-74.96637,10
47,44.94083,-74.77657,11
48,44.79243,-74.10543,-
49,43.11746,-76.18384,12
50,42.9663,-76.20267,13
51,43.02108,-77.82188,-
52,42.87719,-77.72816,14
53,43.13549,-78.32064,15;16
54,43.00409,-78.54105,17
55,43.0561,-78.98,18
56,42.91186,-79.06478,19
57,42.7704,-78.98,-
58,42.71458,-78.76807,-
59,42.44449,-79.26259,20
60,42.32661,-79.1147,21
61,42.8186,-78.48548,-
62,42.40254,-77.77902,-
63,42.38451,-77.56709,-
64,42.61369,-76.93127,22
65,41.91437,-76.46265,-
66,41.97816,-76.79422,-
67,42.09986,-76.69955,23
68,41.96326,-75.74348,-
69,41.98163,-75.94222,-
70,42.11234,-75.87158,24
71,42.6078,-76.08352,25
72,41.51669,-73.61091,-
73,41.2414,-73.7343,-
74,41.04758,-74.24672,-
75,41.06007,-74.05221,-
76,41.22094,-73.91092,-
77,40.68631,-73.3985,26
78,40.72168,-73.19833,27
79,40.8451,-73.31042,28
80,40.63118,-73.96414,-
81,40.79691,-73.59301,29
82,42.06276,-82.84811,-
83,42.09605,-83.14859,-
84,42.51522,-82.38938,-
85,42.38139,-82.46003,30
86,42.50378,-82.58342,-
87,42.81582,-81.87696,-
88,42.91984,-82.15955,-
89,42.8186,-82.44213,-
90,43.64828,-79.61629,31
91,46.67058,-81.02921,32
92,44.58718,-79.75758,-
93,44.06711,-80.04016,-
94,46.24898,-78.06161,-
95,46.35854,-79.475,-
96,46.35854,-81.3118,33
97,44.94048,-75.13875,34
98,45.0965,-75.08835,-
99,45.09026,-74.82459,-
100,42.93613,-79.79337,35
101,43.16462,-79.38173,-
102,43.06892,-79.26069,-
103,43.16462,-79.96339,-
104,42.72568,-81.45119,-
105,43.06892,-80.81538,-
106,42.94931,-80.71506,-
107,43.54115,-79.79101,-
108,43.37542,-79.89697,-
109,43.12093,-79.6167,-
110,43.33901,-80.46561,-
111,42.09778,-82.15996,-
112,42.19729,-82.50141,-
113,42.91984,-82.72512,-
114,42.61369,-82.72512,36
115,42.30234,-82.86642,-
116,42.54643,-83.43158,-
117,42.09605,-83.43158,-
118,43.12786,-83.57288,37
119,43.23188,-85.69041,38
120,42.4359,-83.2748,39
121,42.26427,-83.32472,40
122,41.73692,-83.45142,41
123,40.48286,-74.83214,-
124,40.5262,-74.37859,-
125,40.75261,-74.19632,-
126,40.37885,-75.5386,-
127,40.06403,-75.3973,-
128,39.6563,-75.82117,-
129,39.76031,-76.38634,42
130,39.79082,-76.64256,-
131,40.48875,-77.51668,-
132,40.27483,-79.21219,43
133,40.49777,-79.19382,44
134,40.66211,-79.52161,45
135,41.94495,-80.34299,-
136,42.04897,-80.06041,46
137,41.63014,-76.38634,-
138,38.72017,-82.32108,47
139,42.28161,-79.55411,-
